id,Property location,Price,bedrooms,floors,waterfront,Condition,grade,yr_built,yr_renovated,zipcode
7129300520,Arizona,221900,3,1,0,1,7,2001,0,98178
6414100192,Arizona,221900,3,2,0,1,7,2000,2016,98125
5631500400,Arizona,221900,2,1,0,1,6,2018,0,98028
2487200875,Arizona,221900,4,1,0,0,7,2006,2020,98136
1954400510,Arizona,221900,3,1,0,1,8,2021,0,98074
7237550310,Arizona,221900,4,1,0,1,11,2001,0,98053
1321400060,Arizona,221900,3,2,0,1,7,2018,0,98003
2008000270,Arizona,221900,3,1,0,1,7,2004,0,98198
2414600126,Arizona,221900,3,1,0,1,7,2002,0,98146
3793500160,Arizona,221900,3,2,0,1,7,2003,0,98038
1736800520,Arizona,221900,3,1,0,0,8,2006,2020,98007
9212900260,Arizona,221900,2,1,0,1,7,2002,0,98115
114101516,Arizona,221900,3,1.5,0,1,7,2021,0,98028
6054650070,Arizona,221900,3,1,0,1,7,2010,0,98074
1175000570,Arizona,221900,5,1.5,0,1,7,2002,0,98107
9297300055,Arizona,221900,4,2,0,1,9,2011,0,98126
1875500060,Arizona,221900,3,2,0,1,7,2018,0,98019
6865200140,Arizona,221900,4,1.5,0,1,7,2010,0,98103
16000397,Arizona,221900,2,1,0,1,7,2012,0,98002
7983200060,Arizona,221900,3,1,0,0,7,2007,2020,98003
6300500875,Arizona,221900,4,1,0,0,7,2007,2020,98133
2524049179,Arizona,221900,3,1,0,0,9,2007,2020,98040
7137970340,Arizona,221900,5,2,0,1,8,2018,0,98092
8091400200,Arizona,221900,2,1,0,1,7,2016,0,98030
3814700200,Arizona,221900,3,2,0,1,8,2016,0,98030
1202000200,Arizona,221900,3,1.5,0,1,6,2001,0,98002
1794500383,Arizona,221900,3,2,0,1,8,2009,0,98119
3303700376,Arizona,221900,3,1.5,0,0,8,2007,2020,98112
5101402488,Arizona,221900,3,1,0,1,7,2008,0,98115
1873100390,Arizona,221900,4,2,0,1,8,2005,0,98052
8562750320,Arizona,221900,3,2,0,1,8,2003,0,98027
2426039314,Arizona,221900,2,3,0,1,7,2005,0,98133
461000390,Arizona,221900,4,1.5,0,1,7,2017,0,98117
7589200193,Arizona,221900,3,1.5,0,1,8,2017,0,98117
7955080270,Arizona,221900,4,1,0,1,7,2012,0,98058
9547205180,Arizona,221900,3,1.5,0,1,8,2017,0,98115
9435300030,Arizona,221900,4,1,0,1,5,2018,0,98052
2768000400,Arizona,221900,4,2,0,1,8,2005,0,98107
7895500070,Arizona,221900,4,1,0,0,7,2007,2020,98001
2078500320,Arizona,221900,4,2,0,1,8,2019,0,98056
5547700270,Arizona,221900,4,2,0,1,9,2000,2016,98074
7766200013,Arizona,221900,4,1,0,1,8,2016,0,98166
7203220400,Hawaii,221900,5,2,0,1,9,2014,0,98053
9270200160,Arizona,221900,3,2,0,1,7,2016,0,98119
1432701230,Arizona,221900,3,1,0,1,6,2002,0,98058
8035350320,Arizona,221900,3,2,0,0,8,2003,2019,98019
8945200830,Arizona,221900,3,1,0,0,6,2006,2020,98023
4178300310,Arizona,221900,4,2,0,1,9,2012,0,98007
9215400105,Arizona,221900,3,1,0,1,7,2001,0,98115
822039084,Arizona,221900,3,1,1,1,9,2001,0,98070
5245600105,Arizona,221900,3,1,0,1,7,2001,0,98148
7231300125,Arizona,221900,5,1,0,0,8,2006,2020,98056
7518505990,Arizona,221900,3,1,0,1,7,2000,2016,98117
3626039271,Arizona,221900,2,1,0,1,7,2012,0,98117
4217401195,Arizona,221900,5,1.5,0,1,8,2021,0,98105
9822700295,Arizona,221900,4,2,0,1,9,2018,0,98105
9478500640,Arizona,221900,4,2,0,1,7,2008,0,98042
2799800710,Arizona,221900,3,2,0,0,8,2003,2019,98042
7922800400,Arizona,221900,5,2,0,0,8,2007,2020,98008
8079040320,Arizona,221900,4,2,0,1,8,2018,0,98059
1516000055,Arizona,221900,3,1,0,1,8,2002,0,98166
9558200045,Arizona,221900,3,1,0,1,7,2001,0,98148
5072410070,Arizona,221900,3,2,0,1,8,2008,0,98166
9528102996,Hawaii,221900,3,3,0,1,8,2014,0,98115
1189001180,Arizona,221900,3,1,0,1,7,2011,0,98122
3253500160,Arizona,221900,3,1.5,0,1,7,2016,0,98144
3394100030,Arizona,221900,4,2,0,1,10,2017,0,98004
3717000160,Arizona,221900,4,2,0,1,7,2005,0,98001
1274500060,Arizona,221900,3,1,0,0,7,2007,2020,98042
1802000060,Arizona,221900,5,1,0,0,8,2006,2020,98004
1525059190,Arizona,221900,5,1,0,1,11,2008,0,98005
1049000060,Arizona,221900,3,1,0,1,7,2008,0,98034
8820901275,Arizona,221900,4,1.5,0,1,7,2010,0,98125
5416510140,Arizona,221900,4,2,0,1,8,2005,0,98038
3444100400,Arizona,221900,3,1,0,0,7,2006,2020,98042
3276920270,Arizona,221900,4,2,0,1,10,2017,0,98075
4036801170,Arizona,221900,4,1,0,1,7,2002,0,98008
2391600320,Arizona,221900,3,1,0,1,7,2001,0,98116
6300000287,Arizona,221900,3,1,0,1,7,2002,0,98133
1531000030,Arizona,221900,4,2,0,1,10,2002,0,98010
5104520400,Arizona,221900,3,2,0,0,8,2003,2019,98038
7437100340,Arizona,221900,4,2,0,1,7,2018,0,98038
9418400240,Arizona,221900,2,1,0,1,7,2008,0,98118
1523059105,Arizona,221900,3,1,0,1,8,2005,0,98059
1133000671,Arizona,221900,3,1,0,1,6,2000,2016,98125
4232902595,Arizona,221900,3,2,0,1,9,2016,0,98119
2599001200,Arizona,221900,5,1.5,0,0,7,2003,2019,98092
3342103156,Arizona,221900,3,2,0,0,9,2006,2020,98056
1332700270,Arizona,221900,2,2,0,1,7,2011,0,98056
3869900162,Arizona,221900,2,2,0,0,7,2006,2020,98136
2791500270,Arizona,221900,4,2,0,1,7,2017,0,98023
5036300431,Arizona,221900,5,2,0,1,10,2001,0,98199
4168000060,Arizona,221900,3,1,0,1,7,2004,0,98023
6021501535,Arizona,221900,3,1,0,1,8,2020,0,98117
6021501535,Arizona,221900,3,1,0,1,8,2020,0,98117
1483300570,Arizona,221900,4,1,0,0,7,2006,2020,98040
3422049190,Arizona,221900,3,1,0,0,7,2006,2020,98032
1099611230,Arizona,221900,4,1,0,0,7,2009,2020,98023
722079104,Arizona,221900,3,1,0,1,7,2011,0,98038
7338200240,Arizona,221900,3,2,0,1,9,2018,0,98045
1952200240,Arizona,221900,3,1.5,0,0,9,2007,2020,98102
5200100125,Arizona,221900,3,1.5,0,1,7,2017,0,98117
7214720075,Arizona,221900,3,2,0,1,8,2016,0,98077
